CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G
3088542506508;Sirop d'agave;Sunny bio;Boissons, Édulcorants, Sirops, Sirops simples, Sirops aromatisés, Sirops d'agave;310.0
8712566432127;Bouillon Légumes;Knorr;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Produits déshydratés, Aliments à base de plantes séchées, Produits lyophilisés à reconstituer, Bouillons, Mélanges de légumes, Bouillons déshydratés, Bouillons de légumes, Bouillons cubes, Bouillons de légumes déshydratés, Mélanges de légumes pour bouillon, en:groceries;336.0
3250390005902;Maïs doux tendre;Saint eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes et dérivés, Légumes en conserve, Céréales en conserve, Maïs en conserve, Maïs doux en conserve;78.0
3250391505388;Crousti'miel;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Grains soufflées, Céréales soufflées, Céréales au miel;383.0
3250392383893;Céréales cricachoc chocolat au lait;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Céréales extrudées, Céréales fourrées;434.0
3250390382850;Tagliatelles;Fiorini;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Tagliatelles;
3250390000389;Coquillettes;Fiorini,Sélection des Mousquetaires,Les Mousquetaires;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Coquillettes, Coquillettes de blé dur;355.0
3250390000396;Macaroni;Fiorini;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Macaroni de blé dur;
3250390566977;P'tits Onctueux Pâturages;Páturages,Sélection des Mousquetaires,Les Mousquetaires;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Frais, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts brassés aux fruits, Yaourts multifruits, Yaourts aux fruits sans morceaux;
3168930010265;Cruesli Mélange De Noix;Quaker;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Céréales et dérivés, Fruits et produits dérivés, Céréales pour petit-déjeuner, Mueslis, Céréales aux fruits à coques, Pépites de céréales croustillantes, Pépites de céréales aux fruits à coques;462.0
3760176400246;Yaourts Mangue passion pitaya;Ker Ronan;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts au lait de vache, Yaourts brassés aux fruits, Yaourts aux fruits avec morceaux, Yaourts à la mangue, Yaourts mixés, Yaourts entiers, Yaourts multifruits;103.0
3250391243341;Margarine omega 3;Bouton d'or,Sélection Intermarché;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Frais;486.0
3760091727732;Beurre bio cacahuètes;Ethiquable;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Purées d'oléagineux, Beurres de légumineuses, Beurres de fruits à coques, Beurres de cacahuètes;622.0
4017979052004;dose hindi tavuk sosis;Efepasa Burcu, efepasa;Viandes et dérivés, Viandes, Charcuteries, Saucisses, Saucisses de volaille, Saucisses en conserve;
7613035937420;Knacki Végétale;Herta;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Alternatives à la viande, Substituts de viande, Saucisses végétariennes;264.0
3423182114001;Cidre bio;Thomas Le Prince;Boissons, Boissons alcoolisées, Cidres;30.2
3073781180848;Boursin ail et fines herbes;Boursin, Boursin atartiner/core cheese;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages à tartiner;396.0
3410280055947;Dosettes de café;Top Budget,Intermarché;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés en dosettes, Cafés en dosettes compatible Senseo;
3038359000782;Sauce tomate cuisinée oignons & ail;Panzani;Condiments, Sauces, Sauces pour pâtes, Sauces tomate, Sauces tomate aux oignons, en:Groceries;160.0
7613035898646;Chocolat Noir Corsé;Nestlé Dessert,Nestlé,Tablettes;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs;555.0
3011360020017;Knorr Soupe Déshydratée Poule aux Vermicelles 63g;Knorr®,Unilever®;Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Soupes, Plats préparés déshydratés, Soupes déshydratées;338.0
3273220085196;Dessert café 4 pots de 100 g;sojasun;Plant-based foods and beverages, Dairy substitutes, Desserts, Non-dairy desserts, Soy desserts, Coffee desserts;84.0
3250392425685;Soupe de poissons recette bretonne;Capitaine cook;Plats préparés, Soupes, Soupes à réchauffer, Soupes de poissons;47.0
3103220006658;Mao Croqui;Haribo;Snacks, Snacks sucrés, Confiseries, Bonbons;408.0
3250391560103;Jambon découenné dégraissé - mon gourmand;Monique ranou;Viandes et dérivés, Viandes, Charcuteries, en:Specific products, Jambons, en:Products for specific diets, Jambons blancs, Produits à teneur réduite en sel, Charcuteries à teneur réduite en sel, Jambons blancs à teneur réduite en sel;118.0
3168930006152;Bénénuts Twinuts saveur bacon grillé;BENENUTS,Twinuts;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Snacks, Légumineuses, Snacks salés, Amuse-gueules, Fruits à coques et dérivés, Fruits à coques, Biscuits apéritifs, Cacahuètes, Fruits à coque salés, Cacahuètes salées, Cacahuètes enrobées;543.0
3021210014004;Le pâté de porc Hénaff;Hénaff;Conserves, Viandes et dérivés, Produits à tartiner, Surgelés, Viandes, Charcuteries, Produits à tartiner salés, Porc et dérivés, Charcuteries diverses, Pâté, Porc, Pâtés de porc;257.0
3033491139444;Activia Nature;Danone,Activia;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Yaourts au Bifidus, Yaourts au bifidus nature;61.0
5038862162500;100% oranges sans pulpe;innocent;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits frais, Jus de fruits pur jus, Jus d'orange frais, Jus d'orange pur jus;35.0
