CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G;MAT_GRASSES;GRAISSES_SATUREES;GLUCIDES;SUCRES;FIBRES;PROTEINES;SEL;SODIUM;CALCIUM
3088542506508;Sirop d'agave;Sunny bio;Boissons, Édulcorants, Sirops, Sirops simples, Sirops aromatisés, Sirops d'agave;310.0;0.5;0.0;76.0;73.0;0.0;0.0;0.0725;0.029;
8712566432127;Bouillon Légumes;Knorr;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Produits déshydratés, Aliments à base de plantes séchées, Produits lyophilisés à reconstituer, Bouillons, Mélanges de légumes, Bouillons déshydratés, Bouillons de légumes, Bouillons cubes, Bouillons de légumes déshydratés, Mélanges de légumes pour bouillon, en:groceries;336.0;17.0;12.0;40.0;15.0;0.5;4.6;31.0;12.4;
3250390005902;Maïs doux tendre;Saint eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes et dérivés, Légumes en conserve, Céréales en conserve, Maïs en conserve, Maïs doux en conserve;78.0;1.6;0.3;12.0;6.5;2.6;2.4;0.43;0.172;
3250391505388;Crousti'miel;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Grains soufflées, Céréales soufflées, Céréales au miel;383.0;1.5;0.3;80.0;32.3;5.9;9.7;0.05;0.02;203.0
3250392383893;Céréales cricachoc chocolat au lait;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Céréales extrudées, Céréales fourrées;434.0;14.2;3.2;64.0;26.7;5.6;9.7;0.52;0.208;
3250390000389;Coquillettes;Fiorini,Sélection des Mousquetaires,Les Mousquetaires;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Coquillettes, Coquillettes de blé dur;355.0;1.9;0.3;70.0;4.5;0.0;13.0;0.02;0.008;
3168930010265;Cruesli Mélange De Noix;Quaker;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Céréales et dérivés, Fruits et produits dérivés, Céréales pour petit-déjeuner, Mueslis, Céréales aux fruits à coques, Pépites de céréales croustillantes, Pépites de céréales aux fruits à coques;462.0;19.0;2.0;57.0;12.0;10.0;8.5;0.0;0.0;
3760176400246;Yaourts Mangue passion pitaya;Ker Ronan;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts au lait de vache, Yaourts brassés aux fruits, Yaourts aux fruits avec morceaux, Yaourts à la mangue, Yaourts mixés, Yaourts entiers, Yaourts multifruits;103.0;3.0;1.9;14.8;14.5;;4.1;0.1;0.04;
3250391243341;Margarine omega 3;Bouton d'or,Sélection Intermarché;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Frais;486.0;54.0;13.0;0.5;0.5;0.5;0.5;0.5;0.2;
3760091727732;Beurre bio cacahuètes;Ethiquable;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Purées d'oléagineux, Beurres de légumineuses, Beurres de fruits à coques, Beurres de cacahuètes;622.0;50.0;6.8;13.0;5.8;8.3;26.0;0.03;0.012;
7613035937420;Knacki Végétale;Herta;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Alternatives à la viande, Substituts de viande, Saucisses végétariennes;264.0;20.0;1.4;4.0;2.2;2.1;16.0;1.3;0.52;
3423182114001;Cidre bio;Thomas Le Prince;Boissons, Boissons alcoolisées, Cidres;30.2;0.0;0.0;2.75;2.75;0.5;0.0;0.0;0.0;
3073781180848;Boursin ail et fines herbes;Boursin, Boursin atartiner/core cheese;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages à tartiner;396.0;39.0;26.0;3.0;2.5;;8.5;1.23;0.492;
3038359000782;Sauce tomate cuisinée oignons & ail;Panzani;Condiments, Sauces, Sauces pour pâtes, Sauces tomate, Sauces tomate aux oignons, en:Groceries;160.0;9.0;0.7;16.0;10.0;1.7;2.9;1.9;0.76;
7613035898646;Chocolat Noir Corsé;Nestlé Dessert,Nestlé,Tablettes;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs;555.0;37.4;22.4;40.7;34.6;10.6;8.4;0.02;0.008;
3011360020017;Knorr Soupe Déshydratée Poule aux Vermicelles 63g;Knorr®,Unilever®;Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Soupes, Plats préparés déshydratés, Soupes déshydratées;338.0;2.7;0.6;66.0;5.5;2.1;9.9;10.4;4.16;
3273220085196;Dessert café 4 pots de 100 g;sojasun;Plant-based foods and beverages, Dairy substitutes, Desserts, Non-dairy desserts, Soy desserts, Coffee desserts;84.0;1.7;0.3;13.8;10.5;;3.3;0.18;0.072;120.0
3250392425685;Soupe de poissons recette bretonne;Capitaine cook;Plats préparés, Soupes, Soupes à réchauffer, Soupes de poissons;47.0;1.5;0.3;3.3;0.0;0.0;5.0;0.86;0.344;
3103220006658;Mao Croqui;Haribo;Snacks, Snacks sucrés, Confiseries, Bonbons;408.0;5.1;2.5;90.0;70.0;0.0;0.7;0.05;0.02;
3250391560103;Jambon découenné dégraissé - mon gourmand;Monique ranou;Viandes et dérivés, Viandes, Charcuteries, en:Specific products, Jambons, en:Products for specific diets, Jambons blancs, Produits à teneur réduite en sel, Charcuteries à teneur réduite en sel, Jambons blancs à teneur réduite en sel;118.0;2.7;1.0;0.5;0.5;0.5;23.0;1.4;0.56;
3168930006152;Bénénuts Twinuts saveur bacon grillé;BENENUTS,Twinuts;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Snacks, Légumineuses, Snacks salés, Amuse-gueules, Fruits à coques et dérivés, Fruits à coques, Biscuits apéritifs, Cacahuètes, Fruits à coque salés, Cacahuètes salées, Cacahuètes enrobées;543.0;34.0;5.0;43.0;6.0;3.0;14.0;2.1;0.84;
3021210014004;Le pâté de porc Hénaff;Hénaff;Conserves, Viandes et dérivés, Produits à tartiner, Surgelés, Viandes, Charcuteries, Produits à tartiner salés, Porc et dérivés, Charcuteries diverses, Pâté, Porc, Pâtés de porc;257.0;21.0;8.2;0.5;0.5;;17.0;1.6;0.64;
3033491139444;Activia Nature;Danone,Activia;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Yaourts au Bifidus, Yaourts au bifidus nature;61.0;3.2;2.2;4.6;4.6;0.0;3.5;0.12;0.048;122.0
5038862162500;100% oranges sans pulpe;innocent;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits frais, Jus de fruits pur jus, Jus d'orange frais, Jus d'orange pur jus;35.0;0.5;0.1;7.8;7.8;0.7;0.7;0.01;0.004;
